愛,アイ
剣舞,ケンブ
見物,ケンブツ
検分,ケンブン
権幕,ケンマク
倹約,ケンヤク
権利,ケンリ
げ,ゲ
芸,ゲイ
芸者,ゲイシャ
芸当,ゲイトウ
芸人,ゲイニン
華山,ゲサン
下宿,ゲシュク
下女,ゲジョ
げた,ゲタ
下駄,ゲタ
月給,ゲッキュウ
下品,ゲヒン
下劣,ゲレツ
げろ,ゲロ
源,ゲン
言,ゲン
玄関,ゲンカン
元気,ゲンキ
原稿,ゲンコウ
拳骨,ゲンコツ
言語,ゲンゴ
現象,ゲンショウ
厳重,ゲンジュウ
現場,ゲンバ
厳罰,ゲンバツ
こ,コ
呼,コ
子,コ
粉,コ
鯉,コイ
濃い茶,コイチャ
こいつ,コイツ
候,コウ
向,コウ
好,コウ
幸,コウ
校,コウ
行,コウ
香,コウ
高,コウ
厚意,コウイ
好意,コウイ
行為,コウイ
後裔,コウエイ
公園,コウエン
後架,コウカ
公開,コウカイ
後悔,コウカイ
口外,コウガイ
後学,コウガク
好逑,コウキュウ
抗議,コウギ
講義,コウギ
香具師,コウグシ
肯綮,コウケイ
攻撃,コウゲキ
公言,コウゲン
広告,コウコク
交際,コウサイ
降参,コウサン
格子,コウシ
講釈,コウシャク
高尚,コウショウ
紅色,コウショク
行進,コウシン
麹,コウジ
好人物,コウジンブツ
香水,コウスイ
後世,コウセイ
校正,コウセイ
高知,コウチ
校長,コウチョウ
後任,コウニン
紅梅,コウバイ
公平,コウヘイ
神戸,コウベ
高慢ちき,コウマンチキ
巧妙,コウミョウ
小梅,コウメ
蝙蝠傘,コウモリガサ
高利貸,コウリカシ
後列,コウレツ
声,コエ
氷水,コオリミズ
古賀,コガ
呼吸,コキュウ
故郷,コキョウ
黒人,コクジン
黒点,コクテン
黒板,コクバン
告別,コクベツ
小倉,コクラ
ここ,ココ
ここいら,ココイラ
ここら,ココラ
心,ココロ
心当り,ココロアタリ
心得顔,ココロエガオ
心持ち,ココロモチ
小声,コゴエ
小言,コゴト
胡坐,コザ
腰,コシ
輿,コシ
個人,コジン
鼓吹,コスイ
コスメチック,コスメチック
こせこせ,コセコセ
姑息,コソク
小僧,コゾウ
答,コタエ
こちら,コチラ
国旗,コッキ
こっち,コッチ
骨董,コットウ
小使,コヅカイ
小遣,コヅカイ
小遣い,コヅカイ
小作り,コヅクリ
こと,コト
事,コト
言,コト
事柄,コトガラ
今年,コトシ
言葉,コトバ
子供,コドモ
小人,コドモ
こないだ,コナイダ
この間,コノカン
木の下,コノシタ
琥珀,コハク
古風,コフウ
瘤,コブ
拳,コブシ
駒,コマ
駒下駄,コマゲタ
小間物,コマモノ
込,コミ
懲り懲り,コリゴリ
これ,コレ
これしき,コレシキ
頃,コロ
小脇,コワキ
こん,コン
今,コン
今回,コンカイ
今月,コンゲツ
根性,コンジョウ
今度,コンド
今日様,コンニチサマ
蒟蒻版,コンニャクバン
今晩,コンバン
今般,コンパン
今夜,コンヤ
コート,コート
ご,ゴ
五,ゴ
後,ゴ
御,ゴ
号,ゴウ
豪傑,ゴウケツ
強情,ゴウジョウ
豪胆,ゴウタン
号令,ゴウレイ
語学,ゴガク
ご苦労,ゴクロウ
午後,ゴゴ
蓙,ゴザ
後生,ゴショウ
五拾,ゴジッ
五重の塔,ゴジュウノトウ
ご存知,ゴゾンジ
ご馳走,ゴチソウ
御殿,ゴテン
ごと,ゴト
事,ゴト
午砲,ゴホウ
胡麻塩,ゴマシオ
護謨,ゴム
ご免,ゴメン
ご用,ゴヨウ
娯楽,ゴラク
ご覧,ゴラン
頃,ゴロ
ごろごろ,ゴロゴロ
さ,サ
さい,サイ
歳,サイ
際,サイ
菜園,サイエン
際限,サイゲン
最初,サイショ
最前,サイゼン
催促,サイソク
最中,サイチュウ
災難,サイナン
裁判,サイバン
裁判所,サイバンショ
財布,サイフ
竿,サオ
盃,サカズキ
肴,サカナ
魚,サカナ
相良,サガラ
さき,サキ
先,サキ
先ほど,サキホド
詐欺,サギ
作,サク
策,サク
作成,サクセイ
作品,サクヒン
昨夜,サクヤ
策略,サクリャク
酒,サケ
笹,ササ
さし,サシ
指金,サシガネ
差支え,サシツカエ
刺身,サシミ
誘い,サソイ
沙汰,サタ
察,サッ
さっき,サッキ
刷,サツ
札,サツ
薩摩芋,サツマイモ
里,サト
砂糖,サトウ
覚,サトシ
絛虫,サナダムシ
さま,サマ
サマ,サマ
様,サマ
左右,サユウ
皿,サラ
猿,サル
申,サル
騒ぎ,サワギ
さん,サン
三,サン
産,サン
参考,サンコウ
散々,サンザン
三時,サンジ
算術,サンジュツ
賛成,サンセイ
三太郎,サンタロウ
散歩,サンポ
山門,サンモン
参列,サンレツ
座,ザ
在校,ザイコウ
財産,ザイサン
在来,ザイライ
坂,ザカ
ざくろ口,ザクログチ
座敷,ザシキ
雑誌,ザッシ
雑費,ザッピ
雑談,ザツダン
ざま,ザマ
慚愧,ザンキ
残念,ザンネン
使,シ
士,シ
師,シ
死,シ
氏,シ
仕合,シアイ
仕合せ,シアワセ
仕打,シウチ
汐,シオ
潮風,シオカゼ
潮水,シオミズ
資格,シカク
仕掛,シカケ
仕掛け,シカケ
仕方,シカタ
死骸,シガイ
四月,シガツ
式,シキ
指揮,シキ
敷,シキ
敷石,シキイシ
敷島,シキシマ
始業,シギョウ
仕草,シグサ
成雄,シゲオ
茂作,シゲサク
四国,シコク
私語,シゴ
至極,シゴク
仕事,シゴト
仔細,シサイ
静か,シズカ
姿勢,シセイ
自然,シゼン
使嗾,シソウ
紙燭,シソク
士族,シゾク
下,シタ
舌,シタ
支度,シタク
したて,シタテ
次第,シダイ
質屋,シチヤ
失敬,シッケイ
失策,シッサク
失体,シッタイ
失敗,シッパイ
室,シツ
失言,シツゲン
失念,シツネン
失望,シツボウ
質問,シツモン
失礼,シツレイ
指定,シテイ
支店,シテン
至当,シトウ
品切れ,シナギレ
忍び,シノビ
師範,シハン
芝,シバ
芝居,シバイ
師表,シヒョウ
四方,シホウ
資本,シホン
島,シマ
縞,シマ
始末,シマツ
者,シャ
車,シャ
社会,シャカイ
尺,シャク
癪,シャク
酌,シャク
癪持ち,シャクモチ
謝罪,シャザイ
写真,シャシン
写生,シャセイ
シャツ,シャツ
娑婆,シャバ
車夫,シャフ
三味線,シャミセン
車力,シャリキ
手,シュ
主意,シュイ
周,シュウ
周囲,シュウイ
習慣,シュウカン
週間,シュウカン
